,Año,Trimestre,Provincia,Accesos por cada 100 hogares
402,2018,1,San Luis,15.15
403,2018,1,Santa Cruz,33.55
404,2018,1,Santa Fe,62.28
405,2018,1,Santiago Del Estero,34.99
406,2018,1,Tierra Del Fuego,65.2
407,2018,1,Tucumán,41.18
408,2017,4,Buenos Aires,57.61
409,2017,4,Capital Federal,122.9
410,2017,4,Catamarca,28.62
411,2017,4,Chaco,30.81
412,2017,4,Chubut,51.46
413,2017,4,Córdoba,63.33
414,2017,4,Corrientes,32.52
415,2017,4,Entre Ríos,47.89
416,2017,4,Formosa,21.27
417,2017,4,Jujuy,22.74
418,2017,4,La Pampa,71.05
419,2017,4,La Rioja,51.57
420,2017,4,Mendoza,33.33
421,2017,4,Misiones,31.14
422,2017,4,Neuquén,61.24
423,2017,4,Río Negro,49.38
424,2017,4,Salta,39.8
425,2017,4,San Juan,30.3
426,2017,4,San Luis,10.59
427,2017,4,Santa Cruz,28.91
428,2017,4,Santa Fe,61.71
429,2017,4,Santiago Del Estero,29.13
430,2017,4,Tierra Del Fuego,59.89
431,2017,4,Tucumán,39.9
432,2017,3,Buenos Aires,55.63
433,2017,3,Capital Federal,121.86
434,2017,3,Catamarca,32.49
435,2017,3,Chaco,29.98
436,2017,3,Chubut,46.22
437,2017,3,Córdoba,62.31
438,2017,3,Corrientes,32.17
439,2017,3,Entre Ríos,45.96
440,2017,3,Formosa,21.35
441,2017,3,Jujuy,22.65
442,2017,3,La Pampa,69.14
443,2017,3,La Rioja,51.47
444,2017,3,Mendoza,35.7
445,2017,3,Misiones,30.21
446,2017,3,Neuquén,60.83
447,2017,3,Río Negro,48.52
448,2017,3,Salta,39.84
449,2017,3,San Juan,32.37
450,2017,3,San Luis,15.48
451,2017,3,Santa Cruz,33.29
452,2017,3,Santa Fe,60.91
453,2017,3,Santiago Del Estero,35.12
454,2017,3,Tierra Del Fuego,65.74
455,2017,3,Tucumán,39.7
456,2017,2,Buenos Aires,56.27
457,2017,2,Capital Federal,124.06
458,2017,2,Catamarca,25.98
459,2017,2,Chaco,29.05
460,2017,2,Chubut,35.55
461,2017,2,Córdoba,58.97
462,2017,2,Corrientes,31.39
463,2017,2,Entre Ríos,45.39
464,2017,2,Formosa,19.97
465,2017,2,Jujuy,22.4
466,2017,2,La Pampa,63.49
467,2017,2,La Rioja,16.2
468,2017,2,Mendoza,31.76
469,2017,2,Misiones,30.09
470,2017,2,Neuquén,61.91
471,2017,2,Río Negro,46.02
472,2017,2,Salta,32.74
473,2017,2,San Juan,26.96
474,2017,2,San Luis,9.51
475,2017,2,Santa Cruz,26.25
476,2017,2,Santa Fe,52.27
477,2017,2,Santiago Del Estero,14.12
478,2017,2,Tierra Del Fuego,68.46
479,2017,2,Tucumán,38.19
480,2017,1,Buenos Aires,58.57
481,2017,1,Capital Federal,108.37
482,2017,1,Catamarca,25.66
483,2017,1,Chaco,28.62
484,2017,1,Chubut,35.66
485,2017,1,Córdoba,57.65
486,2017,1,Corrientes,30.94
487,2017,1,Entre Ríos,44.91
488,2017,1,Formosa,19.84
489,2017,1,Jujuy,22.76
490,2017,1,La Pampa,62.67
491,2017,1,La Rioja,16.2
492,2017,1,Mendoza,31.84
493,2017,1,Misiones,29.52
494,2017,1,Neuquén,61.02
495,2017,1,Río Negro,46.03
496,2017,1,Salta,32.58
